PMCID,female,male,female_percentage,male_percentage
PMC2889775,,23,,
PMC2889899,,8,,
PMC2889997,,240,,
PMC2890012,16,13,,
PMC2890358,10,10,,
PMC2891690,40,,,
PMC2891734,,281,,
PMC2891757,,,,53
PMC2893052,9,2,,
PMC2893134,60,,,
PMC2893462,,,,
PMC2893538,306,,,
PMC2894009,44,54,,
PMC2894746,1755,2367,,
PMC2894827,,,,
PMC2895614,301,,,
PMC2895877,,,,
PMC2898104,183,328,,
PMC2898677,23,,,
PMC2898851,,63,,
PMC2900202,,,,41
PMC2901213,32,41,,
PMC2901344,48,,,
PMC2902473,73,,,
PMC2903475,,,,
PMC2903481,59,43,,
PMC2904295,15,5,,
PMC2904695,89,222,,
PMC2905636,406,,,
PMC2906427,,,,
PMC2906488,1828,,,
PMC2906746,87,,,
PMC2907385,,,,
PMC2908128,,4,,
PMC2908637,25,,,
PMC2908786,,,,
PMC2909938,94,,,
PMC2909980,35,64,,
PMC2910031,137,,,
PMC2910501,29,23,,
PMC2910685,,,,
PMC2910698,39,,,
PMC2910701,,100,,
PMC2910856,,14,,
PMC2911053,12,8,,
PMC2911063,8,7,,
PMC2911381,7,12,,
PMC2911704,,15,,
PMC2911856,23,,,
PMC2911869,23,,,
PMC2912351,,,,
PMC2912724,93,94,,
PMC2912832,9,7,,
PMC2912845,19,9,,
PMC2912915,5,7,,
PMC2914012,,,,
PMC2914072,44,,,
PMC2914081,20,,,
PMC2914646,150,,,
PMC2915979,45,95,,
PMC2915984,421,421,,
PMC2917570,24,,,
PMC2918623,,,,
PMC2919462,44,72,,
PMC2919546,,,,52
PMC2919986,17,15,,
PMC2920886,8,,,
PMC2921352,,4,,
PMC2921357,8,2,,
PMC2921405,95,,,
PMC2922077,10,5,,
PMC2922734,902,,,
PMC2922739,,,,
PMC2924305,,,,
PMC2926937,,32,,
PMC2927995,4,4,,
PMC2928090,,,,
PMC2928195,,63,,
PMC2928358,6,7,,
PMC2928798,315,757,,
PMC2928889,9,12,,
PMC2930158,12,16,,
PMC2931392,206,44,,
PMC2931398,18,,,
PMC2932892,403,349,,
PMC2932893,,561,,
PMC2933462,30,,,
PMC2933619,,13,,
PMC2933801,130,,,
PMC2935430,,90,,
PMC2935542,,20,,
PMC2935963,38,,,
PMC2935969,9,,,
PMC2936278,,,,
PMC2937036,25,,,
PMC2938253,875,285,,
PMC2938342,,,,
PMC2938547,142,,,
PMC2939051,6,,,
PMC2940216,105,13,,
PMC2940751,192,,,
PMC2941046,,,,
PMC2941053,80,,,
PMC2941586,50,36,,
PMC2942800,7,,,
PMC2942866,5,13,,
PMC2943102,386,,,
PMC2943745,,,,
PMC2943915,19,14,,
PMC2944091,,950,,
PMC2944174,,3,,
PMC2944241,11,11,,
PMC2944340,637,,,
PMC2944787,,,,
PMC2944811,8,6,,
PMC2944968,28,30,,
PMC2945027,50,8,,
PMC2945333,,,,
PMC2945347,167,,,
PMC2945355,57,,,
PMC2946995,,18,,
PMC2947518,,,,
PMC2948906,,,,
PMC2949597,28,55,,
PMC2949660,186,,,
PMC2949710,2,8,,
PMC2949781,4500,,,
PMC2949801,4,6,,
PMC2949857,,2741,,
PMC2950392,2,14,,
PMC2950934,205,326,,
PMC2951137,12,,,
PMC2951359,53,143,,
PMC2952096,2,16,,
PMC2952299,40,44,,
PMC2953500,,,,66
PMC2953508,,,,
PMC2954155,5,7,,
PMC2954177,,89,,
PMC2954785,76,,,71
PMC2954843,57,146,,
PMC2954853,54,72,,
PMC2954875,,,,
PMC2954883,,,,
PMC2955651,16,28,,
PMC2957100,,37,,
PMC2957577,10,20,,
PMC2958128,6,8,,
PMC2958564,9,7,,
PMC2958814,442,539,,
PMC2958984,104,257,,
PMC2959011,9,49,,
PMC2963533,51,,,
PMC2963540,,2,,
PMC2965089,2341,,,
PMC2965143,7,20,,
PMC2965706,518,,,
PMC2965719,271,,,
PMC2965860,1155,,,
PMC2966422,8,15,,
PMC2966622,,104,,
PMC2967471,10,,,
PMC2973972,18,,,
PMC2974732,,55,,
PMC2975627,,,,
PMC2975631,7,3,,
PMC2976690,,864,,
PMC2976782,,,,
PMC2978094,42,,,
PMC2978244,7,,,
PMC2978684,,59,,
PMC2978726,34,,,
PMC2980469,,41,,51
PMC2981551,30,,,
PMC2982027,11,18,,
PMC2983025,12,16,,
PMC2984511,,,,
PMC2987816,,,,
PMC2987909,10,40,,
PMC2988211,,,,
PMC2988618,15,77,,
PMC2988724,22,16,,
PMC2988736,88,,,
PMC2988752,,5,,
PMC2988769,2,3,,
PMC2989863,,,,
PMC2989917,,,,
PMC2990857,,103,,
PMC2991172,,,,57
PMC2992501,5,7,,
PMC2992502,6,6,,
PMC2992910,,32,,
PMC2993484,,8,,
PMC2993709,636,,,
PMC2993883,,49,,
PMC2994159,42,,,
PMC2994738,6,,,
PMC2994814,,,,
PMC2995065,,,,
PMC2995212,19,,,
PMC2995312,127,,,
PMC2995468,276,190,,
PMC2996061,2,4,,
PMC2996385,,11,,
PMC2996992,4,,,
PMC2997232,77,,,
PMC2997242,300,,,
PMC2998980,,,,
PMC3000095,,24,,
PMC3000363,,,,
PMC3000399,4,9,,
PMC3001153,30,,,
PMC3001451,7,4,,
PMC3001723,458,,,
PMC3002325,36,9,,
PMC3002760,184,28,,
PMC3002933,14,7,,
PMC3003511,,,,
PMC3003648,338,996,,
PMC3005828,16,16,,
PMC3007633,1,2,,
PMC3008752,12,,,
PMC3008809,26,25,,
PMC3009700,15,,,
PMC3011091,,457,,
PMC3012035,5,,,
PMC3012081,15,14,,
PMC3012196,,,,
PMC3012668,,,,
PMC3012671,3,10,,
PMC3013130,477,168,,
PMC3014101,45,,,
PMC3014697,4,6,,
PMC3015065,13,15,,
PMC3015066,34,36,,
PMC3016298,,56,,
PMC3016333,,551,,
PMC3016512,15,19,,
PMC3017003,78,76,,
PMC3017062,,,,
PMC3017329,308,,,
PMC3017442,,,,
PMC3017546,13,,,
PMC3018062,,,,
PMC3018645,,,,
PMC3018653,752,,,
PMC3020567,17,,,
PMC3021547,69,,,
PMC3021880,17,,,
PMC3022186,9,,,
PMC3022687,89,21,,
PMC3022762,33,##28,,
PMC3022900,,,,
PMC3023789,,25,,
PMC3024391,21,17,,
PMC3025565,,24,,
PMC3026044,8,4,,
PMC3026342,,,,
PMC3026686,,79,,77
PMC3027083,4,3,,
PMC3027618,18,5,,
PMC3029467,34,,,65
PMC3030750,##6,161,,
PMC3030786,20,2,,
PMC3031025,,18,,
PMC3031601,,254,,
PMC3031894,200,,,
PMC3032523,,,,
PMC3032655,341,166,,
PMC3032727,612,475,,
PMC3032742,2,4,,
PMC3033882,23,,,
PMC3033883,6,3,,
PMC3034187,,,,
PMC3035781,3,3,,
PMC3036829,22,2,,
PMC3036976,8,13,,
PMC3037286,,13,,
